,CardVariant,Cashback
0,Flipkart Axis Bank Credit Card,5% cashback on Flipkart & Myntra. 4% cashback on Preferred Merchants. 1.5% cashback on all other categories
1,AXIS Bank SELECT Credit Card,Earn 10 Axis EDGE points on every Rs. 200 spends. Earn 2X per Rs 200 on ‘Retail Shopping’ spends.
2,Axis Bank Vistara Credit Card,"Earn 2 CV Points* for every Rs 200 spent on the Axis Bank Vistara Credit Card and redeem for upgrades & award flights faster. For options to redeem points, Get bonus CV Points and upto 3 Economy class tickets on achieving the milestone spends."
3,Axis Bank Vistara Signature Credit Card,"Earn 4 CV Points* for every Rs. 200 spent on the Axis Bank Vistara Signature Credit Card and redeem for upgrades & award flights. For options to redeem points, Get bonus CV Points and up to 4 complimentary Premium Economy tickets* on achieving milestone spends."
4,Axis Bank Vistara Infinite Credit Card,"Earn 6 CV Points* for every Rs. 200 spent on the Axis Bank Vistara Infinite Credit Card and redeem for upgrades and award flights faster. For options to redeem points, Get bonus CV Points and up to 4 complimentary Business Class tickets* on achieving milestone spends."
5,Axis Bank Freecharge Plus Credit Card,5% Cashback on Freecharge Spends. 1% Cashback on all other spends
6,Axis bank ACE Credit Card,2% on all other spends
7,Axis Bank MY ZONE EASY Credit Card,25% cashback on online and box office movie ticket purchases all week with your MY Zone Easy Credit Card*. *No reward points are earned on movie offer transactions. The amount of cashback in a calendar year is limited to Rs.1000.
8,Axis Bank My Wings Credit Card,"Up to 20% cashback on bare fare domestic flight bookings: Rs. 25 off every time a ticket is booked with a My Wings Credit Card on tickets booked on www.irctc.com.Maximum cashback Rs. 25 per transaction . Maximum annual benefits of Rs. 200 per cardholder. Rs. 500 cashback on booking any domestic return air ticket. Rs. 1,500 cashback on booking any international return air tickets. Rs 1,000 cashback on booking any hotels across India, Nepal and Bhutan on minimum booking value of Rs. 7,000. Rs. 1,500 cashback on international hotel bookings of Rs. 7,000 and above. Rs. 2,500 cashback on domestic holidays worth Rs. 20,000 and above. Rs. 3,000 on booking any international holidays on minimum booking value of Rs. 20,000 and above. Rs. 100 on bus ticket bookings. Flat Rs. 400 per car booking on car rentals within India"
9,Coral American Express,"Earn 2 PAYBACK Points from ICICI Bank Rewards on every Rs. 100 spent on your card (except fuel). Earn 4 PAYBACK Points from ICICI Bank Rewards on every Rs. 100 spent on online transactions. Earn 1 PAYBACK Point from ICICI Bank Rewards on every Rs.100 spent on utilities and insurance categories.Under the ICICI Bank Milestone Rewards programme, get 2000 PAYBACK Points from ICICI Bank Rewards on spending Rs. 2,00,000 on your card and 1000 PAYBACK Points from ICICI Bank Rewards each time you cross Rs. 1,00,000 spend thereafter in an anniversary year; maximum of 10,000 PAYBACK Points per year"
10,Coral contactless card,"Earn 2 PAYBACK Points on every Rs. 100 spent on your card (except fuel). Get 1 PAYBACK Point on every Rs.100 spent on utilities and insurance categories. Under the new ICICI Bank Milestone Rewards program, get 2000 PAYBACK Points on spending Rs. 2,00,000 on your card and 1000 PAYBACK Points each time you cross Rs. 1,00,000 spend thereafter in an anniversary year; maximum of 10000 PAYBACK Points per year."
11,Rubyx Credit Card,"Under the new ICICI Bank Milestone Rewards program, get 3,000 PAYBACK Points on spending Rs. 3,00,000 on your card and 1,500 PAYBACK Points each time you cross Rs. 1,00,000 spend thereafter in an anniversary year; maximum of 15,000 PAYBACK Points per year. Get one PAYBACK Point on every Rs. 100 spent on utilities and insurance categories. Redeem the rewards for an exciting selection of gifts or cash. Each reward point is equivalent to Rs. 0.25 when redeemed for cash."
12,Sapphiro Credit Card,"Under the new Milestone Rewards program, get 4,000 PAYBACK Points on spending Rs. 4,00,000 on your card and 2,000 PAYBACK Points each time you cross Rs. 1,00,000 spend thereafter in an anniversary year; maximum of 20,000 PAYBACK Points per year. Get 1 PAYBACK Points on every Rs. 100 spent on utilities and insurance categories."
13,Manchester United Signature Credit Card,"Earn up to  PAYBACK points on every Rs 100 spent on all retail purchases except fuel. Your points are easily redeemable for attractive products, including Manchester United merchandise, through PAYBACK, India's largest multi-partner coalition loyalty programme."
14,Manchester United Platinum Credit Card,"Earn up to  PAYBACK points on every Rs 100 spent on all retail purchases except fuel. Your points are easily redeemable for attractive products, including Manchester United merchandise, through PAYBACK, India's largest multi-partner coalition loyalty programme."
15,Platinum Credit Card,"Earn 2 PAYBACK Points on every  100 spent for all retail purchases except fuel. Your points are easily redeemable for attractive products through PAYBACK, India's largest multi-partner coalition loyalty programme. Get 1 PAYBACK Point on every 100 spent on utilities and insurance categories."
16,ICICI Bank HPCL Coral American Express Credit Card,"Enjoy accelerated 3X rewards, i.e on every 100 spent, get 6 ICICI Bank Reward Points, powered by PAYBACK on fuel spends at HPCL pumps & 2 PAYBACK Points from ICICI Bank Rewards on all other retail spends. Now you can redeem PAYBACK Points from ICICI Bank Rewards at HPCL pumps itself! Every 2,000 PAYBACK Points earn you fuel worth 500."
17,ICICI Bank HPCL Coral Visa/MasterCard Credit Cards,Earn 2 PAYBACK Points on every 100 spent on retail purchases except fuel. Redeem 2000 PAYBACK Points for fuel worth  500.
18,ICICI Bank HPCL Platinum Credit Card ,"You not only earn PAYBACK Points when you use your ICICI Bank Credit Card, but also earn additional points from PAYBACK Partner Brands for the same purchase. You can redeem your PAYBACK Points from many options  from movie and travel vouchers to lifestyle products, mobiles, appliances and more. With your ICICI Bank Credit Card and PAYBACK, shopping is truly rewarding! Earn 2 PAYBACK Points on every 100 spent on retail purchases except fuel. Now you can swipe your PAYBACK membership card at select HPCL pumps to instantly redeem points for fuel at the pump itself ! Every 2,000 PAYBACK Points earn you fuel worth  500."
19,ICICI Bank HPCL Super Saver Credit Card,"Now earn rewards on all your daily essential spends across mobile bills, electricity bills and departmental store purchases. You get 5% back on spends across these categories. For every Rs 100 spent, you receive 20 PAYBACK points.Earn 2 PAYBACK Points on every Rs 100 spent on all retail purchases.Your ICICI Bank Credit Card entitles you to earn PAYBACK points on your transactions. PAYBACK, Indiaâ€™s largest Reward Programme, has powered ICICI Bank Rewards to bring you a range of exciting rewards from your everyday spending. You not only earn PAYBACK points when you use your ICICI Bank Credit Card, but also earn additional points from the PAYBACK Partner Brands for the same purchase. Now you can swipe your PAYBACK membership card at select HPCL pumps to instantly redeem points for fuel at the pump itself! You earn fuel worth Rs 500 for every 2,000 PAYBACK Points. You can redeem your PAYBACK Points from many options at HPCL fuel pumps, movies, travel vouchers, lifestyle products, mobiles, appliances and more. With your ICICI Bank Credit Card and PAYBACK, shopping is truly rewarding! This redemption option is available through PAYBACK Points. *Customer can earn Rs 300 per month in the form of cashback and accelerated rewards across all categories. - Fuel cashback of 5% comprises of 4% + 1% on fuel surcharge (4% cashback is capped at Rs 200 per month). 5% accelerated Reward points on categories such as departmental stores, electricity and mobile bills capped at Rs 100 worth PAYBACK points per month)."
20,Accelero Credit Card,Earn up to 2 PAYBACK Points on every INR 100 spent on retail purchases. Your points are easily redeemable for premium automobile products and branded merchandise.
21,Millennia Credit Card,2.5% CashBack on all online spends. 1% CashBack on all offline spends and wallet reloads
22,Easy EMI Card,2.5% CashBack on all online spends. 1% CashBack on all offline spends and wallet reloads
23,Millennia Prepaid Card,2.5% CashBack on all online spends. 1% CashBack on all offline spends and Wallet reloads
24,INFINIA Metal Edition,5 Reward Points for every  150 spent
25,Diners Club Black Credit Card,"Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 80,000 every month. 5 Reward Points for every Rs 150 spent. 10X Reward Points on partner brands"
26,Paytm HDFC Bank Credit Card,Upto 3% Unlimited Cashback everytime
27,Paytm HDFC Bank Select Credit Card,Upto 5% Unlimited Cashback everytime
28,Paytm HDFC Bank Mobile Credit Card,Upto 2% Unlimited Cashback everytime
29,Regalia Credit Card,4 Reward Points for every  150 spent
30,Diners Club Privilege Credit Card,"Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 40,000 every month. 4 Reward Points for every Rs 150 spent. 10X Reward Points on partner brands"
31,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato. 1% cashback on all other spends (except Fuel) including EMI & Wallet transactions. 5% CashBack on Amazon, Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy. 2.5% CashBack on all online spends. 1% CashBack on all offline spends and wallet reloads"
32,MoneyBack+ Credit Card,"10X CashPoints on Amazon, BigBasket, Flipkart, Reliance Smart SuperStore & Swiggy. 5X CashPoints on EMI spends at merchant locations. 2 CashPoints on all other spends ( Excluding fuel, Wallets loads )"
33,Freedom Credit Card,"Earn 10X CashPoints on your favourite merchants ( Big Basket, BookMyshow, OYO, Swiggy & Uber ). Earn 5X CashPoints on EMI spends at merchant locations. Earn 1 CashPoint per every Rs.150  on other spends ( Excluding fuel, Wallets loads )"
34,MoneyBack Credit Card,Earn 2 Reward Points for every Rs 150 spent. Earn 4 Reward Points for every Rs 150 spent online
35,Regalia First Credit Card,4 Reward Points for every  150 spent
36,Freedom Credit Card,Earn 1 Reward Point on every 150 spent
37,Platinum Times Card,3 Reward Points for every  150 spent
38,Titanium Times Card,2 Reward Points for every  150 spent
39,6E Rewards - IndiGo HDFC Bank Credit Card,1% 6E Rewards on all other spends*
